DAY,YEAR,JUL,REG,LOC,LOCATION ,RIVER,MALL,NOPI,AGWT,DUCKS,% ICE,% WET,County
9/10/2007,2007,253,1,5,Goose Lake,Illinois River,0,0,0,10,0,-0- ,"Bureau and Putnam, Illinois"
9/26/2007,2007,269,1,5,Goose Lake,Illinois River,460,"1,510",600,"3,020",0,-0- ,"Bureau and Putnam, Illinois"
10/12/2007,2007,285,1,5,Goose Lake,Illinois River,870,"1,000",500,"2,380",0,-0- ,"Bureau and Putnam, Illinois"
10/23/2007,2007,296,1,5,Goose Lake,Illinois River,"5,800","2,000","1,500","10,000",0,-0- ,"Bureau and Putnam, Illinois"
10/29/2007,2007,302,1,5,Goose Lake,Illinois River,"18,325","2,100","3,200","25,800",0,-0- ,"Bureau and Putnam, Illinois"
11/13/2007,2007,317,1,5,Goose Lake,Illinois River,"19,225",690,"3,450","27,800",0,-0- ,"Bureau and Putnam, Illinois"
11/23/2007,2007,327,1,5,Goose Lake,Illinois River,"14,300",300,0,"14,900",0,-0- ,"Bureau and Putnam, Illinois"
11/27/2007,2007,331,1,5,Goose Lake,Illinois River,"8,580",0,"2,200","11,000",0,-0- ,"Bureau and Putnam, Illinois"
12/4/2007,2007,338,1,5,Goose Lake,Illinois River,"18,620",0,0,"19,000",90,-0- ,"Bureau and Putnam, Illinois"
12/18/2007,2007,352,1,5,Goose Lake,Illinois River,"3,530",0,0,"3,605",75,-0- ,"Bureau and Putnam, Illinois"
12/26/2007,2007,360,1,5,Goose Lake,Illinois River,100,0,0,"1,400",75,-0- ,"Bureau and Putnam, Illinois"
9/2/2008,2008,245,1,5,Goose Lake,Illinois River,100,0,400,"1,600",0,-0- ,"Bureau and Putnam, Illinois"
9/9/2008,2008,252,1,5,Goose Lake,Illinois River,0,0,0,0,0,-0- ,"Bureau and Putnam, Illinois"
9/16/2008,2008,259,1,5,Goose Lake,Illinois River,35,0,25,160,0,-0- ,"Bureau and Putnam, Illinois"
10/13/2008,2008,286,1,5,Goose Lake,Illinois River,"1,200",60,275,"1,795",0,-0- ,"Bureau and Putnam, Illinois"
10/28/2008,2008,301,1,5,Goose Lake,Illinois River,"4,800",0,0,"4,900",0,-0- ,"Bureau and Putnam, Illinois"
11/3/2008,2008,307,1,5,Goose Lake,Illinois River,"24,800",400,"1,500","28,020",0,-0- ,"Bureau and Putnam, Illinois"
11/10/2008,2008,314,1,5,Goose Lake,Illinois River,"20,850",0,"2,500","24,600",0,-0- ,"Bureau and Putnam, Illinois"
11/18/2008,2008,322,1,5,Goose Lake,Illinois River,"5,700",0,"1,000","6,700",75,-0- ,"Bureau and Putnam, Illinois"
11/25/2008,2008,329,1,5,Goose Lake,Illinois River,"1,700",0,0,"1,700",0,-0- ,"Bureau and Putnam, Illinois"
12/2/2008,2008,336,1,5,Goose Lake,Illinois River,"3,550",0,0,"3,560",90,-0- ,"Bureau and Putnam, Illinois"
12/22/2008,2008,356,1,5,Goose Lake,Illinois River,200,0,0,210,99,-0- ,"Bureau and Putnam, Illinois"
12/29/2008,2008,363,1,5,Goose Lake,Illinois River,100,0,0,935,95,-0- ,"Bureau and Putnam, Illinois"
1/5/2009,2009,5,1,5,Goose Lake,Illinois River,0,0,0,100,75,-0- ,"Bureau and Putnam, Illinois"
9/2/2009,2009,245,1,5,Goose Lake,Illinois River,10,0,0,110,0,-0- ,"Bureau and Putnam, Illinois"
9/9/2009,2009,252,1,5,Goose Lake,Illinois River,5,0,400,"2,015",0,-0- ,"Bureau and Putnam, Illinois"
9/14/2009,2009,257,1,5,Goose Lake,Illinois River,320,50,100,"1,070",0,-0- ,"Bureau and Putnam, Illinois"
10/13/2009,2009,286,1,5,Goose Lake,Illinois River,"1,450",50,850,"2,700",0,-0- ,"Bureau and Putnam, Illinois"
10/20/2009,2009,293,1,5,Goose Lake,Illinois River,"9,300","1,550","9,300","29,650",0,-0- ,"Bureau and Putnam, Illinois"
11/2/2009,2009,306,1,5,Goose Lake,Illinois River,"5,500",10,300,"6,310",0,-0- ,"Bureau and Putnam, Illinois"
11/11/2009,2009,315,1,5,Goose Lake,Illinois River,"9,500",50,225,"13,975",0,-0- ,"Bureau and Putnam, Illinois"
11/23/2009,2009,327,1,5,Goose Lake,Illinois River,"6,810",100,0,"8,205",0,-0- ,"Bureau and Putnam, Illinois"
